CityName,GeoAreaName,Place_Id,LastChangeDateTime,DaysFromUpdate,Description
Chicago,Hyde Park,68299,10/08/2016,177,Mapped
Chicago,Bridgeport,80218,10/08/2016,177,Mapped
Chicago,Bridgeport,64392,10/08/2016,177,Mapped
Chicago,Hyde Park,71142,10/08/2016,177,Mapped
Chicago,Douglas,83516,10/08/2016,177,Mapped
Chicago,West Garfield Park,88829,10/08/2016,177,Mapped
Chicago,West Garfield Park,88830,10/08/2016,177,Mapped
Chicago,Hyde Park,77566,10/08/2016,177,Mapped
Chicago,Chicago Lawn,75409,10/08/2016,177,Mapped
Chicago,Hyde Park,71127,10/08/2016,177,Mapped
Chicago,Hyde Park,61596,10/08/2016,177,Mapped
Chicago,Hyde Park,76467,10/08/2016,177,Mapped
Chicago,Chicago Lawn,34775,10/08/2016,177,Mapped
Chicago,West Englewood,33491,10/08/2016,177,Mapped
Chicago,Chicago Lawn,75746,10/08/2016,177,Mapped
Chicago,West Englewood,33505,10/08/2016,177,Mapped
Chicago,Hyde Park,81368,10/08/2016,177,Mapped
Chicago,Chicago Lawn,73855,10/08/2016,177,Mapped
Chicago,Hyde Park,74803,10/08/2016,177,Mapped
Chicago,West Englewood,33545,10/08/2016,177,Mapped
Chicago,Hyde Park,62739,10/08/2016,177,Mapped
Chicago,Chicago Lawn,34664,10/08/2016,177,Mapped
Chicago,Hyde Park,73087,10/08/2016,177,Mapped
Chicago,West Garfield Park,83736,10/08/2016,177,Mapped
Chicago,Chicago Lawn,61224,10/08/2016,177,Mapped
Chicago,Hyde Park,82045,10/08/2016,177,Mapped
Chicago,Hyde Park,82730,10/08/2016,177,Mapped
Chicago,West Garfield Park,88831,10/08/2016,177,Mapped
Chicago,Hyde Park,63782,10/08/2016,177,Mapped
Chicago,West Garfield Park,28509,10/08/2016,177,Mapped
Chicago,Roseland,81729,10/08/2016,177,Checked
Chicago,West Englewood,33686,10/08/2016,177,Mapped
Chicago,West Garfield Park,83737,10/08/2016,177,Mapped
Chicago,West Garfield Park,83739,10/08/2016,177,Mapped
Chicago,West Englewood,33670,10/08/2016,177,Mapped
Chicago,Roseland,70401,10/08/2016,177,Checked
Chicago,West Garfield Park,83738,10/08/2016,177,Mapped
Chicago,West Englewood,33664,10/08/2016,177,Mapped
Chicago,Chicago Lawn,64339,10/08/2016,177,Mapped
Chicago,West Garfield Park,83740,10/08/2016,177,Mapped
Chicago,Roseland,77620,10/08/2016,177,Checked
Chicago,West Englewood,33570,10/08/2016,177,Mapped
Chicago,Chicago Lawn,74415,10/08/2016,177,Mapped
Chicago,Chatham,61950,10/08/2016,177,Mapped
Chicago,Chatham,66988,10/08/2016,177,Mapped
Chicago,Chicago Lawn,83020,10/08/2016,177,Checked
Chicago,Chicago Lawn,74917,10/08/2016,177,Mapped
Chicago,Chicago Lawn,69375,10/08/2016,177,Mapped
Chicago,Englewood,75510,10/08/2016,177,Mapped
Chicago,Douglas,63661,10/08/2016,177,Mapped
Chicago,Englewood,78447,10/08/2016,177,Mapped
Chicago,Roseland,67434,10/08/2016,177,Checked
Chicago,Englewood,69065,10/08/2016,177,Mapped
